state,district,year,gram_rabi_yield_tonne_per_hectare
Andhra Pradesh,Anakapalli,2022 - 2023,2.0
,Anantapur,2000 - 2001,0.67
,,2001 - 2002,1.05
,,2002 - 2003,0.37
,,2003 - 2004,0.3
,,2004 - 2005,0.23
,,2005 - 2006,0.98
,,2006 - 2007,0.37
,,2007 - 2008,1.04
,,2008 - 2009,0.94
,,2009 - 2010,1.15
,,2010 - 2011,0.78
,,2011 - 2012,0.55
,,2012 - 2013,0.86
,,2013 - 2014,0.8
,,2014 - 2015,0.57
,,2015 - 2016,0.45
,,2016 - 2017,0.26
,,2017 - 2018,0.68
,,2018 - 2019,0.25
,,2019 - 2020,0.77
,,2020 - 2021,0.43
,,2021 - 2022,0.24
,,2022 - 2023,1.15
,Annamayya,2022 - 2023,1.5
,Bapatla,2022 - 2023,2.41
,Chittoor,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,0.8
,,2004 - 2005,1.0
,,2008 - 2009,3.89
,,2009 - 2010,1.0
,,2011 - 2012,0.5
,,2013 - 2014,1.25
,,2014 - 2015,1.0
,,2015 - 2016,1.0
,,2016 - 2017,0.75
,,2017 - 2018,
,,2018 - 2019,
,,2021 - 2022,0.75
,,2022 - 2023,1.33
,East godavari,2000 - 2001,2.43
,,2001 - 2002,1.88
,,2002 - 2003,1.32
,,2003 - 2004,1.8
,,2004 - 2005,1.56
,,2005 - 2006,1.92
,,2006 - 2007,1.91
,,2007 - 2008,1.0
,,2008 - 2009,1.74
,,2009 - 2010,1.64
,,2010 - 2011,1.66
,,2011 - 2012,1.51
,,2013 - 2014,1.93
,,2014 - 2015,1.93
,,2015 - 2016,1.85
,,2016 - 2017,1.5
,,2017 - 2018,1.43
,,2018 - 2019,1.08
,,2019 - 2020,1.71
,,2020 - 2021,1.92
,,2021 - 2022,1.95
,,2022 - 2023,1.76
,Guntur,2000 - 2001,2.38
,,2001 - 2002,1.87
,,2002 - 2003,1.31
,,2003 - 2004,1.79
,,2004 - 2005,1.53
,,2005 - 2006,1.57
,,2006 - 2007,1.55
,,2007 - 2008,1.67
,,2008 - 2009,2.06
,,2009 - 2010,1.3
,,2010 - 2011,1.77
,,2011 - 2012,2.04
,,2012 - 2013,1.87
,,2013 - 2014,2.28
,,2014 - 2015,2.3
,,2015 - 2016,1.63
,,2016 - 2017,1.96
,,2017 - 2018,1.9
,,2018 - 2019,2.07
,,2019 - 2020,1.68
,,2020 - 2021,1.9
,,2021 - 2022,1.81
,,2022 - 2023,2.39
,Kadapa,2000 - 2001,1.26
,,2001 - 2002,1.26
,,2002 - 2003,0.52
,,2003 - 2004,1.1
,,2004 - 2005,0.82
,,2005 - 2006,1.66
,,2006 - 2007,0.46
,,2007 - 2008,1.3
,,2008 - 2009,0.94
,,2009 - 2010,0.49
,,2010 - 2011,1.1
,,2011 - 2012,0.83
,,2012 - 2013,0.17
,,2013 - 2014,1.36
,,2014 - 2015,0.63
,,2015 - 2016,1.13
,,2016 - 2017,0.4
,,2017 - 2018,0.71
,,2018 - 2019,0.25
,,2019 - 2020,1.28
,,2020 - 2021,1.15
,,2021 - 2022,1.08
,,2022 - 2023,1.25
,Kakinada,2022 - 2023,2.37
,Krishna,2000 - 2001,2.5
,,2001 - 2002,1.87
,,2002 - 2003,1.31
,,2003 - 2004,1.79
,,2004 - 2005,1.53
,,2005 - 2006,1.91
,,2006 - 2007,1.91
,,2007 - 2008,2.0
,,2008 - 2009,1.74
,,2009 - 2010,1.64
,,2010 - 2011,1.66
,,2011 - 2012,1.52
,,2012 - 2013,2.0
,,2013 - 2014,1.93
,,2014 - 2015,1.93
,,2015 - 2016,2.07
,,2016 - 2017,1.82
,,2017 - 2018,1.9
,,2018 - 2019,2.42
,,2019 - 2020,2.19
,,2020 - 2021,1.65
,,2021 - 2022,1.55
,,2022 - 2023,1.8
,Kurnool,2000 - 2001,0.87
,,2001 - 2002,1.18
,,2002 - 2003,1.09
,,2003 - 2004,0.79
,,2004 - 2005,1.09
,,2005 - 2006,1.64
,,2006 - 2007,0.95
,,2007 - 2008,1.75
,,2008 - 2009,1.46
,,2009 - 2010,1.4
,,2010 - 2011,1.22
,,2011 - 2012,0.76
,,2012 - 2013,1.06
,,2013 - 2014,1.38
,,2014 - 2015,1.32
,,2015 - 2016,0.8
,,2016 - 2017,0.93
,,2017 - 2018,1.28
,,2018 - 2019,0.24
,,2019 - 2020,1.27
,,2020 - 2021,1.19
,,2021 - 2022,0.92
,,2022 - 2023,1.52
,Nandyal,2022 - 2023,1.29
,Ntr,2022 - 2023,1.91
,Palnadu,2022 - 2023,1.8
,Parvathipuram manyam,2022 - 2023,1.83
,Prakasam,2000 - 2001,2.38
,,2001 - 2002,1.87
,,2002 - 2003,1.31
,,2003 - 2004,1.79
,,2004 - 2005,1.53
,,2005 - 2006,1.94
,,2006 - 2007,1.95
,,2007 - 2008,1.29
,,2008 - 2009,1.76
,,2009 - 2010,1.71
,,2010 - 2011,1.68
,,2011 - 2012,1.47
,,2012 - 2013,1.87
,,2013 - 2014,1.94
,,2014 - 2015,1.89
,,2015 - 2016,1.93
,,2016 - 2017,1.49
,,2017 - 2018,1.29
,,2018 - 2019,0.83
,,2019 - 2020,1.4
,,2020 - 2021,1.49
,,2021 - 2022,1.57
,,2022 - 2023,1.27
,Spsr nellore,2000 - 2001,2.38
,,2001 - 2002,1.87
,,2002 - 2003,1.31
,,2003 - 2004,1.79
,,2004 - 2005,1.53
,,2005 - 2006,1.92
,,2006 - 2007,1.91
,,2007 - 2008,0.83
,,2008 - 2009,1.18
,,2009 - 2010,1.3
,,2010 - 2011,1.39
,,2011 - 2012,1.37
,,2012 - 2013,1.17
,,2013 - 2014,1.3
,,2014 - 2015,1.91
,,2015 - 2016,1.34
,,2016 - 2017,0.8
,,2017 - 2018,1.29
,,2018 - 2019,0.93
,,2019 - 2020,1.18
,,2020 - 2021,1.39
,,2021 - 2022,1.0
,,2022 - 2023,1.38
,Sri sathya sai,2022 - 2023,0.56
